sectionid{}uid{}datetime{}type{}sid
1003541{}347759{}20110701 000000{}d{}36169946
1007106{}350195{}20110701 142703{}d{}36184139
1010920{}353307{}20110701 142722{}d{}36207981
1002976{}347353{}20110701 142723{}d{}36107286
1006901{}350009{}20110701 142726{}d{}36194656
1002509{}347020{}20110701 142727{}v{}361538
1003081{}347432{}20110701 142728{}d{}36107287
1001568{}346460{}20110701 142755{}v{}361538
1007811{}350744{}20110701 142757{}d{}36211694
1008916{}351662{}20110701 142757{}d{}36270989
1007412{}350433{}20110701 142806{}d{}36195768
1008416{}351270{}20110701 142806{}d{}36233248
1006555{}349762{}20110701 142810{}d{}36193867
1003407{}347663{}20110701 142814{}d{}36192263
1006686{}349885{}20110701 142815{}d{}36186597
1005812{}349208{}20110701 142823{}d{}36176374
1001891{}346660{}20110701 142825{}v{}361538
1001892{}346661{}20110701 142836{}v{}361538
1001893{}346660{}20110701 142839{}v{}361538
1010951{}353335{}20110701 142854{}d{}36207984
1005329{}348847{}20110701 142858{}d{}36136529
1008105{}350993{}20110701 142903{}d{}36211695
1010055{}352600{}20110701 142916{}d{}36272958
1011172{}353522{}20110701 142925{}d{}36254243
1010885{}353279{}20110701 142930{}d{}36207983
1006523{}349762{}20110701 142942{}d{}36193867
1009654{}352270{}20110701 142944{}d{}36280293
1009135{}351833{}20110701 143004{}d{}36279427
1003556{}347774{}20110701 143005{}d{}36163785
1010896{}353288{}20110701 143030{}d{}36207984
1005527{}348997{}20110701 143036{}d{}36151535
1011053{}353417{}20110701 143040{}d{}36218558
1010073{}352615{}20110701 143044{}d{}36272958
1010219{}352723{}20110701 143044{}d{}36233925
1006512{}349753{}20110701 143048{}d{}36194269
1001230{}346195{}20110701 143102{}v{}361538
1009981{}352544{}20110701 143124{}d{}36272967
1001894{}346662{}20110701 143129{}v{}361538
1008124{}351011{}20110701 143144{}d{}36211696
1001895{}346663{}20110701 143146{}v{}361538
1008768{}351555{}20110701 143153{}d{}36256305
1003897{}347937{}20110701 143205{}d{}36122110
1003082{}347433{}20110701 143208{}d{}36107285
1000333{}345546{}20110701 143212{}v{}36109
1001896{}346193{}20110701 143213{}v{}361538
1008430{}351282{}20110701 143220{}d{}36233233
1005827{}349221{}20110701 143223{}d{}36176375
1009721{}352327{}20110701 143227{}d{}36280293
1008348{}351209{}20110701 143233{}d{}36209168
1006180{}349484{}20110701 143235{}d{}36184334
1005911{}349276{}20110701 143245{}d{}36139159
1004974{}348612{}20110701 143257{}d{}36177742
1002858{}347257{}20110701 143258{}d{}36107285
1006459{}349704{}20110701 143309{}d{}36194613
1004001{}347982{}20110701 143313{}d{}36122110
1008278{}351150{}20110701 143315{}d{}36233245
1011164{}353516{}20110701 143319{}d{}36254244
1002175{}346836{}20110701 143320{}v{}361538
1005861{}349241{}20110701 143323{}d{}36168687
1004232{}347433{}20110701 143331{}d{}36109868
1001231{}346196{}20110701 143353{}v{}361538
1002977{}347354{}20110701 143354{}d{}36107285
1005866{}349241{}20110701 143359{}d{}36168687
1008423{}351276{}20110701 143404{}d{}36233234
1007904{}350678{}20110701 143413{}d{}36211694
1004652{}348382{}20110701 143421{}d{}36192456
1010422{}352896{}20110701 143436{}d{}36236898
1001897{}346664{}20110701 143443{}v{}361538
1007739{}350678{}20110701 143448{}d{}36211694
1008453{}351299{}20110701 143457{}d{}36247715
1003195{}347516{}20110701 143510{}d{}36107285
1000608{}345691{}20110701 143515{}d{}36174613
1007026{}350133{}20110701 143517{}d{}36194648
1004002{}347354{}20110701 143522{}d{}36122108
1011021{}353387{}20110701 143524{}d{}36223156
1010017{}352570{}20110701 143527{}d{}36272967
1004338{}348158{}20110701 143612{}d{}36109870
1008787{}351571{}20110701 143614{}d{}36256303
1000999{}345996{}20110701 143624{}d{}36155389
1006068{}349394{}20110701 143647{}d{}36132203
1006687{}349886{}20110701 143711{}d{}36186597
1001569{}346461{}20110701 143712{}v{}361538
1006090{}349412{}20110701 143712{}d{}36132202
1002510{}347021{}20110701 143731{}v{}361538
1003273{}347572{}20110701 143738{}d{}36124200
1007382{}350416{}20110701 143747{}d{}36133794
1008775{}351562{}20110701 143751{}d{}36256304
1004975{}348613{}20110701 143802{}d{}36177742
1007894{}350815{}20110701 143805{}d{}36211695
1003196{}347517{}20110701 143810{}d{}36107285
1006902{}350034{}20110701 143812{}d{}36194657
1005528{}348998{}20110701 143814{}d{}36151535
1006779{}349945{}20110701 143820{}d{}36184345
1005529{}348999{}20110701 143825{}d{}36151536
1004369{}347158{}20110701 143826{}d{}36109870
1003197{}347144{}20110701 143834{}d{}36107285
1004686{}348403{}20110701 143837{}d{}36195658
1001898{}346665{}20110701 143850{}v{}361538
1003083{}347434{}20110701 143903{}d{}36107287
1006082{}349395{}20110701 143906{}d{}36123741
1003726{}347338{}20110701 143909{}d{}36122108
1003084{}347435{}20110701 143915{}d{}36107286
1005786{}349186{}20110701 143921{}d{}36150261
1009268{}351947{}20110701 144003{}d{}36236763
1009628{}352250{}20110701 144009{}d{}36280293
1003812{}347898{}20110701 144028{}d{}36122108
1005484{}348961{}20110701 144030{}d{}36151535
1008655{}351457{}20110701 144035{}v{}362513
1008736{}351526{}20110701 144042{}d{}36252787
1004825{}348492{}20110701 144043{}d{}36198098
1007512{}350503{}20110701 144058{}d{}36195768
1002511{}346666{}20110701 144103{}v{}361538
1001570{}346462{}20110701 144109{}v{}361538
1004003{}347936{}20110701 144141{}d{}36122110
1001899{}346666{}20110701 144149{}v{}361538
1003813{}347144{}20110701 144202{}d{}36122108
1002740{}347160{}20110701 144235{}d{}36107287
1001571{}346463{}20110701 144238{}v{}361538
1003199{}347518{}20110701 144242{}d{}36107287
1001572{}346464{}20110701 144245{}v{}361538
1000878{}345896{}20110701 144250{}v{}361805
1006181{}349485{}20110701 144253{}d{}36184332
1009424{}352080{}20110701 144253{}d{}36227895
1005988{}349334{}20110701 144259{}d{}36149743
1010312{}352804{}20110701 144304{}d{}36233224
1004144{}347354{}20110701 144310{}d{}36109064
1000522{}345634{}20110701 144311{}v{}361
1004882{}348534{}20110701 144321{}d{}36174992
1006548{}349780{}20110701 144321{}d{}36198189
1003525{}347749{}20110701 144325{}d{}36167379
1004004{}347435{}20110701 144327{}d{}36122109
1000478{}345600{}20110701 144330{}v{}361
1009765{}352365{}20110701 144335{}d{}36280292
1005485{}348961{}20110701 144340{}d{}36151536
1004286{}348131{}20110701 144341{}d{}36109868
1007977{}350886{}20110701 144344{}d{}36211695
1002512{}346666{}20110701 144348{}v{}361538
1002513{}346666{}20110701 144406{}v{}361538
1008081{}350973{}20110701 144420{}d{}36211695
1000555{}345666{}20110701 144423{}v{}361
1010079{}352619{}20110701 144429{}d{}36272957
1009898{}352477{}20110701 144431{}d{}36272025
1008783{}351568{}20110701 144449{}d{}36256303
1005649{}349078{}20110701 144454{}d{}36176469
1003396{}347657{}20110701 144501{}d{}36119723
1001232{}346197{}20110701 144518{}v{}361538
1010303{}352796{}20110701 144520{}d{}36233225
1002514{}347022{}20110701 144521{}v{}361538
1003814{}347899{}20110701 144526{}d{}36122109
1007780{}350716{}20110701 144529{}d{}36211695
1006582{}349803{}20110701 144537{}d{}36194508
1002515{}346193{}20110701 144548{}v{}361538
1000409{}345600{}20110701 144600{}v{}361
1010225{}352729{}20110701 144611{}d{}36222652
1003200{}347519{}20110701 144617{}d{}36107285
1006997{}350111{}20110701 144621{}d{}36194632
1009734{}352340{}20110701 144624{}d{}36280294
1007065{}350160{}20110701 144645{}d{}36194644
1001573{}346464{}20110701 144708{}v{}361538
1005758{}349078{}20110701 144709{}d{}36176469
1005683{}349106{}20110701 144718{}d{}36176469
1008026{}350925{}20110701 144725{}d{}36211696
1002516{}346465{}20110701 144735{}v{}361538
1004069{}348018{}20110701 144742{}d{}36109064
1007941{}350855{}20110701 144742{}d{}36211696
1001574{}346465{}20110701 144743{}v{}361538
1009577{}352205{}20110701 144746{}d{}36280301
1000771{}345824{}20110701 144759{}d{}36172759
1006042{}349365{}20110701 144800{}d{}36167028
1005650{}349078{}20110701 144804{}d{}36176469
1006182{}349486{}20110701 144804{}d{}36184332
1005684{}349078{}20110701 144809{}d{}36176469
1000479{}345634{}20110701 144810{}v{}361
1009951{}352521{}20110701 144824{}d{}36272959
1007196{}350275{}20110701 144830{}d{}36184137
1008658{}351460{}20110701 144832{}v{}362513
1007964{}350875{}20110701 144907{}d{}36211694
1008690{}351484{}20110701 144921{}d{}36270969
1000868{}345897{}20110701 144924{}v{}361727
1003623{}347356{}20110701 144945{}d{}36122110
1005599{}348961{}20110701 144945{}d{}36151535
1002978{}347355{}20110701 145000{}d{}36107286
1011111{}353470{}20110701 145011{}d{}36227686
1000869{}345897{}20110701 145018{}v{}361727
1004723{}348427{}20110701 145030{}d{}36192456
1002176{}346837{}20110701 145034{}v{}361538
1001900{}346667{}20110701 145035{}v{}361538
1005204{}348769{}20110701 145038{}d{}36192714
1005566{}349029{}20110701 145052{}d{}36151536
1006060{}349388{}20110701 145109{}d{}36123739
1010433{}352907{}20110701 145109{}d{}36236898
1004756{}348445{}20110701 145145{}d{}36192458
1007778{}350714{}20110701 145145{}d{}36211694
1005019{}348641{}20110701 145157{}d{}36177742
1005651{}349079{}20110701 145157{}d{}36176470
1005256{}348804{}20110701 145158{}d{}36136539
1005272{}348804{}20110701 145200{}d{}36136539
1004687{}348404{}20110701 145219{}d{}36192457
1005867{}349241{}20110701 145219{}d{}36168687
1005857{}349239{}20110701 145221{}d{}36176376
1000736{}345757{}20110701 145225{}d{}36172760
1000697{}345757{}20110701 145229{}d{}36172760
1008669{}351469{}20110701 145229{}v{}362513
1009625{}352002{}20110701 145229{}d{}36280292
1003201{}347520{}20110701 145246{}d{}36107287
1002517{}346198{}20110701 145257{}v{}361538
1009449{}352101{}20110701 145303{}d{}36227895
1001234{}346198{}20110701 145307{}v{}361538
1004339{}347161{}20110701 145314{}d{}36109870
1005730{}349143{}20110701 145327{}d{}36176468
1001575{}346466{}20110701 145341{}v{}361538
1008109{}350997{}20110701 145346{}d{}36211694
1008179{}351061{}20110701 145348{}d{}36215651
1009796{}352390{}20110701 145352{}d{}36233228
1001901{}346466{}20110701 145354{}v{}361538
1006277{}349560{}20110701 145406{}d{}36184333
1002177{}346838{}20110701 145418{}v{}361538
1007906{}350824{}20110701 145418{}d{}36211695
1010974{}353351{}20110701 145423{}d{}36207984
1009495{}352002{}20110701 145427{}d{}36227895
1000772{}345825{}20110701 145428{}d{}36172760
1001235{}346198{}20110701 145430{}v{}361538
1010374{}352856{}20110701 145435{}d{}36233220
1001236{}346199{}20110701 145439{}v{}361538
1008227{}351061{}20110701 145441{}d{}36215651
1002979{}347356{}20110701 145448{}d{}36107287
1008611{}351426{}20110701 145451{}v{}362513
1005884{}349256{}20110701 145503{}d{}36139159
1008600{}351416{}20110701 145513{}v{}362513
1005486{}348962{}20110701 145515{}d{}36151535
1010887{}353280{}20110701 145530{}d{}36207983
1005167{}348735{}20110701 145541{}d{}36174571
1001902{}346198{}20110701 145542{}v{}361538
1001576{}346467{}20110701 145545{}v{}361538
1005161{}348735{}20110701 145545{}d{}36174571
1008776{}346665{}20110701 145547{}d{}36256304
1009722{}352328{}20110701 145607{}d{}36280293
1001903{}346668{}20110701 145614{}v{}361538
1009356{}352026{}20110701 145620{}d{}36227896
1000907{}345921{}20110701 145636{}v{}361415
1000581{}345669{}20110701 145640{}v{}361284
1008121{}351009{}20110701 145647{}d{}36211696
1007799{}350732{}20110701 145650{}d{}36211694
1004886{}348536{}20110701 145655{}d{}36174995
1001237{}346200{}20110701 145658{}v{}361538
1002518{}347023{}20110701 145755{}v{}361538
1004473{}348249{}20110701 145817{}d{}36178950
1000480{}345635{}20110701 145906{}v{}361719
1000737{}345793{}20110701 145907{}d{}36157421
1002980{}347357{}20110701 145907{}d{}36107287
1003334{}347621{}20110701 145912{}d{}36119724
1000805{}345850{}20110701 145920{}d{}36157422
1005331{}348848{}20110701 145929{}d{}36107128
1002180{}346839{}20110701 145937{}v{}361538
1006278{}349561{}20110701 145937{}d{}36184333
1002741{}347161{}20110701 145946{}d{}36107287
1005396{}348893{}20110701 145946{}d{}36123040
1003815{}347900{}20110701 145949{}d{}36122108
1006035{}349365{}20110701 150006{}d{}36167028
1009008{}351724{}20110701 150017{}d{}36270988
1000773{}345826{}20110701 150018{}d{}36157422
1003085{}347436{}20110701 150027{}d{}36107285
1008535{}351364{}20110701 150031{}d{}36211699
1003898{}347436{}20110701 150055{}d{}36122108
1004978{}348577{}20110701 150106{}d{}36177743
1008353{}351214{}20110701 150123{}d{}36209169
1007107{}350196{}20110701 150127{}d{}36184138
1005448{}348930{}20110701 150130{}d{}36199706
1001240{}346201{}20110701 150142{}v{}361538
1003816{}347515{}20110701 150143{}d{}36122108
1004890{}348538{}20110701 150147{}d{}36175796
1001904{}346201{}20110701 150202{}v{}361538
1008446{}351293{}20110701 150202{}d{}36233232
1001241{}346202{}20110701 150232{}v{}361538
1008343{}351205{}20110701 150232{}d{}36209169
1004005{}347981{}20110701 150233{}d{}36122110
1009484{}352131{}20110701 150239{}d{}36227897
1007585{}350550{}20110701 150240{}d{}36195780
1001905{}346202{}20110701 150247{}v{}361538
1008433{}351285{}20110701 150256{}d{}36233234
1006756{}349876{}20110701 150259{}d{}36186596
1006069{}349395{}20110701 150301{}d{}36123741
1009329{}352002{}20110701 150311{}d{}36227895
1007930{}350846{}20110701 150313{}d{}36211694
1000774{}345827{}20110701 150318{}d{}36157422
1009248{}351930{}20110701 150325{}d{}36208191
1001582{}346468{}20110701 150333{}v{}361538
1005925{}349286{}20110701 150340{}d{}36139159
1003202{}347521{}20110701 150351{}d{}36107287
1009023{}351737{}20110701 150355{}d{}36254473
1003625{}347812{}20110701 150357{}d{}36122109
1006230{}349523{}20110701 150407{}d{}36184333
1010688{}353118{}20110701 150412{}d{}36222799
1006930{}350056{}20110701 150414{}d{}36194642
1007197{}350276{}20110701 150421{}d{}36184138
1007282{}350197{}20110701 150446{}d{}36184139
1007234{}350197{}20110701 150449{}d{}36184139
1007109{}350197{}20110701 150451{}d{}36184139
1011149{}353503{}20110701 150504{}d{}36254243
1000919{}345929{}20110701 150512{}v{}361117
1002181{}346840{}20110701 150527{}v{}361538
1008112{}351000{}20110701 150537{}d{}36211696
1010763{}353184{}20110701 150542{}d{}36233940
1005181{}348749{}20110701 150547{}d{}36165634
1004864{}348520{}20110701 150549{}d{}36171120
1004934{}348577{}20110701 150558{}d{}36177743
1003899{}347938{}20110701 150600{}d{}36122110
1008247{}351122{}20110701 150605{}d{}36233246
1001906{}346468{}20110701 150612{}v{}361538
1004587{}348331{}20110701 150619{}d{}36194242
1002183{}346841{}20110701 150623{}v{}361538
1010224{}352728{}20110701 150630{}d{}36233927
1005652{}349078{}20110701 150645{}d{}36176469
1009686{}352296{}20110701 150651{}d{}36280300
1001244{}346199{}20110701 150705{}v{}361538
1000962{}345966{}20110701 150707{}d{}36155388
1009092{}351797{}20110701 150721{}d{}36208474
1005926{}349257{}20110701 150733{}d{}36139159
1006043{}349365{}20110701 150759{}d{}36167028
1000806{}345851{}20110701 150817{}d{}36157422
1005975{}349324{}20110701 150818{}d{}36169311
1006727{}349912{}20110701 150818{}d{}36186611
1008534{}351363{}20110701 150822{}d{}36211699
1003626{}347355{}20110701 150826{}d{}36122110
1010273{}352769{}20110701 150833{}d{}36255537
1005292{}348814{}20110701 150835{}d{}36179533
1005293{}348814{}20110701 150839{}d{}36179533
1005286{}348814{}20110701 150844{}d{}36179533
1005276{}348814{}20110701 150848{}d{}36179533
1007987{}350895{}20110701 150849{}d{}36211694
1003900{}347355{}20110701 150859{}d{}36122109
1001584{}346201{}20110701 150901{}v{}361538
1000447{}345621{}20110701 150902{}d{}36174183
1001245{}346203{}20110701 150903{}v{}361538
1005845{}349234{}20110701 150938{}d{}36176375
1009035{}351749{}20110701 150945{}d{}36297056
1008185{}351067{}20110701 150948{}d{}36215652
1006011{}349354{}20110701 150953{}d{}36156048
1008379{}351238{}20110701 150955{}v{}362496
1005885{}349257{}20110701 150957{}d{}36139160
1005020{}348642{}20110701 151020{}d{}36177743
1009271{}351541{}20110701 151031{}d{}36236762
1010799{}351130{}20110701 151042{}d{}36232886
1005898{}349268{}20110701 151045{}d{}36139159
1000739{}345794{}20110701 151058{}d{}36172760
1004614{}348351{}20110701 151112{}d{}36192457
1010075{}352616{}20110701 151113{}d{}36272023
1009514{}352154{}20110701 151117{}d{}36280301
1006417{}349666{}20110701 151150{}d{}36183916
1006414{}349666{}20110701 151155{}d{}36183915
1000775{}345794{}20110701 151156{}d{}36172760
1007638{}350589{}20110701 151156{}d{}36139122
1001908{}346669{}20110701 151206{}v{}361538
1000807{}345794{}20110701 151224{}d{}36172760
1007235{}350306{}20110701 151239{}d{}36184137
1002520{}347024{}20110701 151240{}v{}361538
1007844{}350771{}20110701 151240{}d{}36211694
1004288{}348132{}20110701 151243{}d{}36109868
1007464{}350471{}20110701 151251{}d{}36195768
1010777{}351150{}20110701 151257{}d{}36233940
1006960{}349767{}20110701 151306{}d{}36194642
1006279{}349562{}20110701 151318{}d{}36184332
1010057{}352602{}20110701 151318{}d{}36272958
1007027{}350134{}20110701 151322{}d{}36194644
1004006{}347980{}20110701 151339{}d{}36122109
1009764{}352364{}20110701 151358{}d{}36280292
1005869{}349246{}20110701 151403{}d{}36182749
1004370{}348169{}20110701 151411{}d{}36109868
1004496{}348267{}20110701 151418{}d{}36178949
1004289{}348133{}20110701 151419{}d{}36109868
1004181{}347355{}20110701 151430{}d{}36109870
1008384{}351243{}20110701 151451{}d{}36233250
1004371{}348170{}20110701 151459{}d{}36109868
1007364{}350404{}20110701 151500{}d{}36173856
1008256{}351130{}20110701 151502{}d{}36233246
1008345{}351207{}20110701 151521{}d{}36209169
1010040{}352588{}20110701 151525{}d{}36272957
1009014{}351729{}20110701 151528{}d{}36211244
1010321{}350056{}20110701 151530{}d{}36233220
1001587{}346469{}20110701 151537{}v{}361538
1006651{}349858{}20110701 151550{}d{}36186607
1009200{}351541{}20110701 151551{}d{}36236794
1002859{}347257{}20110701 151604{}d{}36107285
1000556{}345636{}20110701 151605{}v{}361
1000481{}345636{}20110701 151608{}v{}361
1008057{}350951{}20110701 151621{}d{}36211696
1005567{}349030{}20110701 151624{}d{}36151535
1008323{}351189{}20110701 151636{}d{}36254414
1002185{}346842{}20110701 151644{}v{}361538
1009301{}351976{}20110701 151654{}d{}36282142
1009240{}351923{}20110701 151705{}d{}36208192
1009880{}352460{}20110701 151713{}d{}36272968
1010683{}353114{}20110701 151722{}d{}36222798
1010115{}352647{}20110701 151744{}d{}36272958
1010223{}352727{}20110701 151803{}d{}36233926
1006443{}349689{}20110701 151805{}d{}36194268
1008533{}351362{}20110701 151824{}d{}36211701
1004233{}348102{}20110701 151851{}d{}36109870
1009558{}352191{}20110701 151857{}d{}36280292
1003727{}347163{}20110701 151924{}d{}36122110
1003568{}347784{}20110701 151927{}d{}36163553
1005487{}348963{}20110701 151935{}d{}36151535
1008220{}351098{}20110701 151938{}d{}36215651
1010705{}353133{}20110701 151938{}d{}36295624
1008217{}351095{}20110701 152005{}d{}36215653
1005468{}348946{}20110701 152006{}d{}36174559
1009902{}352480{}20110701 152026{}d{}36272969
1005190{}348757{}20110701 152032{}d{}36192715
1006906{}350037{}20110701 152046{}d{}36197535
1004106{}348034{}20110701 152047{}d{}36109066
1003205{}347522{}20110701 152107{}d{}36107285
1002521{}347025{}20110701 152108{}v{}361538
1005530{}349000{}20110701 152121{}d{}36151535
1008601{}351417{}20110701 152140{}v{}362513
1000669{}345733{}20110701 152141{}d{}36162969
1005828{}349222{}20110701 152147{}d{}36157670
1006798{}349960{}20110701 152147{}d{}36194656
1005147{}348721{}20110701 152200{}d{}36196279
1010077{}352466{}20110701 152206{}d{}36272967
1006114{}349424{}20110701 152207{}d{}36123741
1009911{}352487{}20110701 152207{}d{}36272046
1004121{}348034{}20110701 152212{}d{}36109066
1004840{}348504{}20110701 152227{}d{}36198098
1006931{}350057{}20110701 152231{}d{}36194644
1002982{}347358{}20110701 152239{}d{}36107287
1009055{}351767{}20110701 152246{}d{}36297066
1004935{}348578{}20110701 152257{}d{}36177742
1002742{}347162{}20110701 152311{}d{}36107287
1009907{}352484{}20110701 152311{}d{}36272957
1003817{}347522{}20110701 152320{}d{}36122108
1009249{}351931{}20110701 152325{}d{}36208190
1010438{}352912{}20110701 152327{}d{}36233220
1001909{}346204{}20110701 152331{}v{}361538
1007942{}350856{}20110701 152332{}d{}36211694
1001248{}346204{}20110701 152335{}v{}361538
1002983{}347165{}20110701 152343{}d{}36107285
1003512{}347740{}20110701 152348{}d{}36156143
1004616{}348352{}20110701 152439{}d{}36192456
1005115{}348703{}20110701 152439{}d{}36177742
1005795{}349194{}20110701 152443{}d{}36183807
1002743{}347163{}20110701 152459{}d{}36107287
1008376{}351236{}20110701 152459{}v{}362496
1001249{}346205{}20110701 152500{}v{}361538
1009477{}352126{}20110701 152513{}d{}36243941
1001588{}346470{}20110701 152514{}v{}361538
1007985{}350893{}20110701 152519{}d{}36211695
1002524{}346840{}20110701 152525{}v{}361538
1007237{}350307{}20110701 152534{}d{}36184137
1007697{}350639{}20110701 152548{}v{}36241
1002744{}347164{}20110701 152608{}d{}36107285
1007988{}350896{}20110701 152619{}d{}36211694
1009482{}352129{}20110701 152622{}d{}36227897
1001589{}346471{}20110701 152625{}v{}361538
1005351{}348864{}20110701 152635{}d{}36123039
1006364{}349627{}20110701 152635{}d{}36184333
1009846{}350266{}20110701 152650{}d{}36272969
1007661{}350610{}20110701 152657{}v{}362337
1001910{}346670{}20110701 152704{}v{}361538
1009679{}352290{}20110701 152718{}d{}36280292
1006409{}349662{}20110701 152725{}d{}36183916
1010844{}353244{}20110701 152750{}d{}36207982
1010124{}352653{}20110701 152755{}d{}36272023
1005381{}348864{}20110701 152802{}d{}36123040
1000698{}345758{}20110701 152816{}d{}36172759
1007341{}350388{}20110701 152818{}d{}36173856
1001590{}346472{}20110701 152855{}v{}361538
1002745{}347165{}20110701 152910{}d{}36107285
1004655{}348383{}20110701 152927{}d{}36192457
1010044{}352591{}20110701 152927{}d{}36272968
1009798{}352392{}20110701 152935{}d{}36233228
1006321{}349561{}20110701 152938{}d{}36184333
1009070{}351779{}20110701 152938{}d{}36297064
1010672{}353104{}20110701 153000{}d{}36222799
1000946{}345950{}20110701 153005{}d{}36155388
1002860{}347258{}20110701 153037{}d{}36107285
1004007{}347983{}20110701 153049{}d{}36122110
1007028{}350082{}20110701 153057{}d{}36194647
1006689{}349887{}20110701 153059{}d{}36186595
1002525{}346634{}20110701 153115{}v{}361538
1009692{}352302{}20110701 153127{}d{}36280293
1006612{}349824{}20110701 153137{}d{}36186606
1003363{}347638{}20110701 153148{}d{}36119725
1000523{}345637{}20110701 153154{}v{}361
1000908{}345906{}20110701 153154{}v{}361415
1000482{}345637{}20110701 153159{}v{}361
1010578{}353025{}20110701 153202{}d{}36233220
1006652{}349859{}20110701 153208{}d{}36186597
1007381{}350415{}20110701 153224{}d{}36199304
1004182{}348077{}20110701 153225{}d{}36109868
1008330{}351193{}20110701 153227{}v{}362870
1006961{}350082{}20110701 153234{}d{}36194647
1004234{}348103{}20110701 153249{}d{}36109868
1006690{}349823{}20110701 153256{}d{}36186607
1004758{}348446{}20110701 153309{}d{}36192456
1006799{}349961{}20110701 153320{}d{}36194658
1002186{}346843{}20110701 153330{}v{}361538
1010380{}352862{}20110701 153335{}d{}36236900
1002187{}346843{}20110701 153341{}v{}361538
1004759{}348352{}20110701 153345{}d{}36192456
1007713{}350654{}20110701 153453{}d{}36211695
1003206{}347523{}20110701 153457{}d{}36107287
1003434{}347685{}20110701 153515{}d{}36133417
1002526{}347026{}20110701 153538{}v{}361538
1009800{}352394{}20110701 153541{}d{}36233230
1002861{}347259{}20110701 153543{}d{}36107287
1009410{}352069{}20110701 153552{}d{}36227896
1003207{}347524{}20110701 153610{}d{}36107286
1004562{}348313{}20110701 153613{}d{}36194242
1000884{}345906{}20110701 153616{}v{}361415
1010339{}352824{}20110701 153618{}d{}36233220
1006865{}350010{}20110701 153625{}d{}36194658
1008327{}351191{}20110701 153630{}v{}362870
1003208{}347525{}20110701 153633{}d{}36107287
1004688{}348405{}20110701 153711{}d{}36192456
1002188{}346844{}20110701 153718{}v{}361538
1002190{}346845{}20110701 153736{}v{}361538
1002191{}346845{}20110701 153742{}v{}361538
1010670{}353102{}20110701 153751{}d{}36222799
1009987{}352548{}20110701 153808{}d{}36272957
1005685{}349107{}20110701 153813{}d{}36176470
1008763{}351551{}20110701 153823{}d{}36211912
1006728{}349913{}20110701 153824{}d{}36186595
1005706{}349107{}20110701 153837{}d{}36176470
1002192{}346846{}20110701 153844{}v{}361538
1005116{}348704{}20110701 153846{}d{}36177742
1009614{}352238{}20110701 153849{}d{}36280294
1010930{}353315{}20110701 153852{}d{}36207983
1004235{}348104{}20110701 153855{}d{}36109869
1001251{}346206{}20110701 153914{}v{}361538
1010706{}353133{}20110701 153914{}d{}36295624
1004474{}348250{}20110701 153917{}d{}36166531
1008753{}351541{}20110701 153922{}d{}36236903
1007365{}350405{}20110701 153925{}d{}36150620
1001911{}346671{}20110701 153932{}v{}361538
1008757{}351545{}20110701 153940{}d{}36222690
1008233{}351109{}20110701 153949{}d{}36233244
1002984{}347161{}20110701 153954{}d{}36107287
1004107{}348035{}20110701 154000{}d{}36109065
1001000{}345997{}20110701 154002{}d{}36155389
1001591{}346206{}20110701 154005{}v{}361538
1009822{}352413{}20110701 154005{}d{}36272957
1002528{}347027{}20110701 154016{}v{}361538
1006070{}349396{}20110701 154021{}d{}36151186
1007689{}350632{}20110701 154026{}v{}362691
1002193{}346847{}20110701 154041{}v{}361538
1004936{}348579{}20110701 154043{}d{}36177742
1009984{}352413{}20110701 154048{}d{}36272957
1006494{}349736{}20110701 154052{}d{}36194269
1003088{}347437{}20110701 154100{}d{}36107287
1003209{}347524{}20110701 154102{}d{}36107286
1009203{}351894{}20110701 154108{}d{}36294926
1008803{}351584{}20110701 154110{}d{}36270988
1001001{}345998{}20110701 154111{}d{}36155389
1009206{}351894{}20110701 154114{}d{}36294926
1003335{}347622{}20110701 154118{}d{}36109265
1010726{}353152{}20110701 154123{}d{}36253968
1005317{}348839{}20110701 154126{}d{}36136529
1006962{}350083{}20110701 154127{}d{}36194642
1001252{}346207{}20110701 154140{}v{}361538
1006579{}349800{}20110701 154147{}d{}36183790
1002746{}347166{}20110701 154159{}d{}36107285
1003628{}347524{}20110701 154211{}d{}36122109
1007980{}350888{}20110701 154211{}d{}36211695
1010018{}352571{}20110701 154215{}d{}36272958
1006691{}349888{}20110701 154221{}d{}36186596
1006907{}350038{}20110701 154250{}d{}36197534
1011068{}353432{}20110701 154253{}d{}36227686
1006999{}350083{}20110701 154254{}d{}36194642
1004146{}348054{}20110701 154303{}d{}36109064
1005332{}348078{}20110701 154311{}d{}36107128
1001912{}346672{}20110701 154314{}v{}361538
1008687{}351482{}20110701 154314{}d{}36215192
1010750{}353172{}20110701 154326{}d{}36253967
1008268{}351141{}20110701 154327{}v{}362934
1003569{}347785{}20110701 154335{}d{}36163553
1005352{}348865{}20110701 154339{}d{}36123039
1007513{}350504{}20110701 154354{}d{}36195769
1002985{}347359{}20110701 154355{}d{}36107287
1004517{}348281{}20110701 154357{}d{}36178949
1005069{}348675{}20110701 154400{}d{}36177742
1009757{}352357{}20110701 154400{}d{}36280293
1006613{}349825{}20110701 154404{}d{}36186596
1010035{}352584{}20110701 154405{}d{}36272958
1003441{}347690{}20110701 154420{}d{}36184971
1003629{}347813{}20110701 154421{}d{}36122110
1004183{}348078{}20110701 154432{}d{}36109869
1002194{}346848{}20110701 154448{}v{}361538
